FacilityName,FacilityNameFull,City,END
1 2 3 You N Me Preschool,1 2 3 You N Me Preschool,Peoria,
1st Holy Zion Center for Learning,1st Holy Zion Center for Learning,Chicago,
21st Century Primary Center,21st Century Primary Center,Park Forest,
7th Grade Academy,7th Grade Academy,Cahokia,
8th Grade Academy,8th Grade Academy,Cahokia,
A B Shepard High Sch (Campus),A B Shepard High Sch (Campus),Palos Heights,
A E R O Spec Educ Coop,A E R O Spec Educ Coop,Burbank,
A E R O Educational Center,A E R O Educational Center,Burbank,
A F Ames Elem School,A F Ames Elem School,Riverside,
A J Katzenmaier Academy,A J Katzenmaier Academy,North Chicago,
A Mothers Touch Creative Learning Center,A Mothers Touch Creative Learning Center,Arlington Heights,
A Mothers Touch Learning Academy,A Mothers Touch Learning Academy,Des Plaines,
A O Marshall Elem School,A O Marshall Elem School,Joliet,
A Place of Hope Christian Ministries,A Place of Hope Christian Ministries,Chicago,
A Step Ahead Academy,A Step Ahead Academy,Chicago,
A Village Green Montessori,A Village Green Montessori,Libertyville,
A Vito Martinez Middle School,A Vito Martinez Middle School,Romeoville,
A.E.R.O. EC Program-Satellite,A.E.R.O. EC Program-Satellite,Burbank,
A.E.R.O.-Comm. Develop.-Satellite,A.E.R.O.-Comm. Develop.-Satellite,Burbank,
A.E.R.O-Connect Prog-Satellite,A.E.R.O-Connect Prog-Satellite,Burbank,
A.E.R.O-Functional Acad Learning-Satellite,A.E.R.O-Functional Acad Learning-Satellite,Burbank,
A.E.R.O-STAR (Autism)-Satellite,A.E.R.O-STAR (Autism)-Satellite,Burbank,
A.S.B. Educational Institute,A.S.B. Educational Institute,Chicago,
AAA Academy,AAA Academy,Blue Island,
AAA Academy II,AAA Academy II,E Hazel Crest,
AAA Academy Intensive,AAA Academy Intensive,Blue Island,
Abbott Middle School,Abbott Middle School,Elgin,
Abe Lincoln Elem School,Abe Lincoln Elem School,Cicero,
Abingdon-Avon CUSD 276,Abingdon-Avon CUSD 276,Abingdon,
Abingdon-Avon High Sch,Abingdon-Avon High Sch,Abingdon,
Abingdon-Avon Middle Sch,Abingdon-Avon Middle Sch,Avon,
ABLE Academy,ABLE Academy,Aurora,
ABLE Academy,ABLE Academy,Warrenville,
ABLE Academy - Intensive,ABLE Academy - Intensive,Warrenville,
Able Program,Able Program,Markham,
Abounding Grace Christian Acad,Abounding Grace Christian Acad,Rockford,
Abraham Lincoln Elem School,Abraham Lincoln Elem School,Oak Park,
Abraham Lincoln Elem School,Abraham Lincoln Elem School,Glen Ellyn,
Abraham Lincoln Elem School,Abraham Lincoln Elem School,Belleville,
Abraham Lincoln Middle School,Abraham Lincoln Middle School,Rockford,
Abraxas Meridian North,Abraxas Meridian North,Woodridge,
Abraxas Naperville Bridge Program,Abraxas Naperville Bridge Program,Woodridge,
Abraxas Naperville Bridge-Int,Abraxas Naperville Bridge-Int,Woodridge,
Abraxas Youth & Family Services,Abraxas Youth & Family Services,Woodridge,
Abundant Grace College Preparatory,Abundant Grace College Preparatory,Hazel Crest,
Abundant Living Christian Academy,Abundant Living Christian Academy,Dolton,
Abundant Model College Preparatory,Abundant Model College Preparatory,Harvey,
A-C Central CUSD 262,A-C Central CUSD 262,Ashland,
A-C Central Elementary School,A-C Central Elementary School,Chandlerville,
A-C Central High School,A-C Central High School,Ashland,
A-C Central Middle School,A-C Central Middle School,Ashland,
Acacia Academy,Acacia Academy,La Grange Highlands,
Acacia Academy - Intensive,Acacia Academy - Intensive,La Grange Highlands,
Acad of St Priscilla at Divine Savior,Acad of St Priscilla at Divine Savior,Norridge,
Academic Behavior&Community Acad,Academic Behavior&Community Acad,Quincy,
Academic Mastery Academy,Academic Mastery Academy,Posen,
Academic Mastery Alt Ed Acad,Academic Mastery Alt Ed Acad,Posen,
Academy for Autism,Academy for Autism,Peoria,
Academy for Autism- Int,Academy for Autism- Int,Peoria,
Academy for Global Citizenship,Academy for Global Citizenship,Chicago,
Academy for Learning,Academy for Learning,Dolton,
Academy for Lifelong Learning (ALL),Academy for Lifelong Learning (ALL),Chicago Heights,
Academy High,Academy High,Champaign,
Academy of Scholastic Achievement,Academy of Scholastic Achievement,Chicago,
Academy of St Benedict,Academy of St Benedict,Chicago,
Academy Sacred Heart/Hardey Prep,Academy Sacred Heart/Hardey Prep,Chicago,
